,Date,Open,Close,High,Low,Volume
0,1635652800000,192.02,192.44,192.46,190.18,1005.66092265
1,1635649200000,193.37,191.93,193.53,191.72,521.34815348
2,1635645600000,191.72,193.48,194.54,191.23,3589.4862443
3,1635642000000,195.17,191.71,195.9,191.62,1774.89222812
4,1635638400000,195.86,195.19,196.99,193.89,8934.71329543
5,1635634800000,191.36,195.85,195.91,190.84,8406.14451226
6,1635631200000,192.09,191.52,192.46,187.62,8590.32432626
7,1635627600000,193.61,192.23,193.72,191.6,4220.92877967
8,1635624000000,194.7,193.68,195.49,193.66,3875.34994286
9,1635620400000,193.56,194.68,194.8,193.56,398.3601699
10,1635616800000,192.24,193.56,194.26,192.24,1652.35424214
11,1635613200000,192.11,192.06,193.56,191.22,916.12259292
12,1635609600000,193.25,192.31,193.59,191.39,2349.37946965
13,1635606000000,192.19,193.29,193.29,191.81,762.92463654
14,1635602400000,194.57,192.0,194.57,190.3,7908.03206586
15,1635598800000,195.61,194.65,196.58,193.5,4752.37037417
16,1635595200000,197.0,195.62,197.29,195.58,806.83227661
17,1635591600000,197.71,196.78,197.81,196.42,1569.19703669
18,1635588000000,196.48,197.73,198.22,195.38,1701.1645458
19,1635584400000,196.22,196.47,197.4,195.49,2311.30258087
20,1635580800000,198.53,196.09,198.62,195.12,4239.58722887
21,1635577200000,196.91,198.06,199.09,196.46,2577.69394317
22,1635573600000,196.57,196.91,197.18,195.94,333.19498036
23,1635570000000,196.93,196.74,197.52,196.21,927.25686324
24,1635566400000,196.89,196.9,197.88,196.7,610.92612367
25,1635562800000,197.36,197.12,198.21,196.69,985.03783849
26,1635559200000,197.17,197.59,197.91,196.69,971.85243127
27,1635555600000,198.93,197.19,199.26,196.7,4856.4115980999995
28,1635552000000,200.41,198.96,200.56,198.61,2476.68720625
29,1635548400000,200.57,200.28,200.9,199.47,353.88986194
30,1635544800000,201.37,200.62,201.87,199.5,630.62488043
31,1635541200000,202.29,201.37,202.83,200.54,455.70109589
32,1635537600000,200.76,202.41,203.71,199.33,5520.15409821
33,1635534000000,200.14,200.52,202.18,199.76,714.22642566
34,1635530400000,202.6,200.35,203.61,199.89,5302.58465754
35,1635526800000,202.16,202.65,204.89,202.1,1320.68372074
36,1635523200000,201.96,202.48,204.75,201.28,6530.50123541
37,1635519600000,197.86,201.98,203.4,197.78,6528.24678641
38,1635516000000,198.45,197.86,198.92,196.85,1732.00295001
39,1635512400000,196.78,198.59,198.67,195.87,905.35294128
40,1635508800000,196.31,196.2,197.47,195.72,765.91006156
