,Date,Open,Close,High,Low,Volume
0,1635652800000,1.1072,1.1182,1.1243,1.1048,564535.93077989
1,1635649200000,1.1096,1.1064,1.1146,1.1028,262011.80182059002
2,1635645600000,1.0947,1.1103,1.1177,1.0919,910611.17972819
3,1635642000000,1.0975,1.0938,1.1009,1.0865,569342.1616428
4,1635638400000,1.0853,1.0981,1.1043,1.0835,979221.78296587
5,1635634800000,1.0715,1.0849,1.087,1.0704,496395.80428788
6,1635631200000,1.0757,1.0715,1.0779,1.0623,258556.72495729
7,1635627600000,1.0811,1.0755,1.0815,1.0755,214565.67613702
8,1635624000000,1.0817,1.0814,1.0856,1.0791,224184.86692172
9,1635620400000,1.0796,1.0815,1.0819,1.0759,287071.61874296
10,1635616800000,1.0746,1.0796,1.0803,1.0746,138358.00817122
11,1635613200000,1.0759,1.0747,1.082,1.0709,345596.78448856
12,1635609600000,1.0811,1.0758,1.0849,1.0729,471551.34751424
13,1635606000000,1.0739,1.081,1.0817,1.0727,258563.81914833
14,1635602400000,1.0837,1.0744,1.087,1.0616,771312.95252498
15,1635598800000,1.0884,1.0853,1.0931,1.0775,599931.71468683
16,1635595200000,1.0937,1.0891,1.0943,1.086,225734.4440817
17,1635591600000,1.0921,1.0933,1.0939,1.0893,82375.44439655
18,1635588000000,1.085,1.092,1.0927,1.0828,270637.06680392
19,1635584400000,1.087,1.0845,1.0913,1.0817,73627.34625922
20,1635580800000,1.0953,1.0865,1.0987,1.0832,309391.46841186
21,1635577200000,1.1001,1.0947,1.1046,1.0936,310324.32321659
22,1635573600000,1.1134,1.1009,1.1136,1.0999,376779.48644785
23,1635570000000,1.0976,1.1146,1.1161,1.0962,688710.48806533
24,1635566400000,1.08,1.0978,1.1112,1.08,1078498.74328064
25,1635562800000,1.078,1.0798,1.0846,1.077,184880.68402485
26,1635559200000,1.0738,1.0777,1.0792,1.0709,245008.49632483
27,1635555600000,1.0735,1.0739,1.0774,1.0718,114551.02464455
28,1635552000000,1.082,1.0736,1.0834,1.0717,321486.34407771
29,1635548400000,1.0795,1.0818,1.0833,1.0749,151889.11359209
30,1635544800000,1.0813,1.0794,1.0835,1.0746,217726.72838291
31,1635541200000,1.0801,1.0808,1.0834,1.08,128169.41993537999
32,1635537600000,1.0792,1.0809,1.0899,1.0756,592937.04024411
33,1635534000000,1.0772,1.0783,1.0803,1.0721,127806.26701277
34,1635530400000,1.077,1.0771,1.0863,1.074,471303.46902658
35,1635526800000,1.0789,1.0765,1.0809,1.075,261233.61293248
36,1635523200000,1.0792,1.0791,1.0853,1.0769,432292.70212132
37,1635519600000,1.0653,1.0788,1.08,1.0652,268712.36513292
38,1635516000000,1.0706,1.0662,1.0709,1.0641,203826.23383209
39,1635512400000,1.0616,1.0705,1.0705,1.0596,113760.94055239
40,1635508800000,1.0602,1.0623,1.0663,1.0565,268665.27032757
41,1635505200000,1.0665,1.0604,1.0666,1.0545,214877.24796104
42,1635501600000,1.0612,1.0671,1.0673,1.0578,118483.36835693
43,1635498000000,1.0637,1.0604,1.0671,1.0592,102333.16448849
44,1635494400000,1.0571,1.0637,1.0656,1.0552,287196.7396662
45,1635490800000,1.0666,1.0579,1.0687,1.0564,95149.43590789
46,1635487200000,1.0632,1.067,1.0693,1.061,149672.20473713
47,1635483600000,1.0723,1.0628,1.0744,1.0589,169443.97233406
48,1635480000000,1.0773,1.0727,1.0817,1.0686,583908.66741429
49,1635476400000,1.0828,1.0772,1.0848,1.0721,161809.06115303
50,1635472800000,1.0787,1.0823,1.087,1.0762,177403.48006529
51,1635469200000,1.0704,1.0815,1.0844,1.0678,341163.30891592
52,1635465600000,1.0584,1.0701,1.0718,1.0545,567234.22071136
53,1635462000000,1.06,1.0583,1.0636,1.0549,211222.55602299
54,1635458400000,1.0574,1.0601,1.0631,1.0523,114763.38162285
55,1635454800000,1.0633,1.0573,1.0633,1.0525,285714.49309375
56,1635451200000,1.065,1.0629,1.0749,1.0593,604694.90177814
57,1635447600000,1.0508,1.0648,1.066,1.042,302900.92270495
58,1635444000000,1.0643,1.0507,1.0643,1.0317,2534750.29881847
59,1635440400000,1.0582,1.0642,1.0725,1.0541,630815.1137962
60,1635436800000,1.0551,1.0572,1.0621,1.0548,103158.77343925
61,1635433200000,1.0599,1.0546,1.0602,1.052,366323.33982777
62,1635429600000,1.0635,1.0596,1.0635,1.0523,199532.10288396
63,1635426000000,1.0625,1.0638,1.0693,1.0577,170087.98533811
64,1635422400000,1.0587,1.0635,1.0667,1.0547,307875.41583671997
65,1635418800000,1.0566,1.0587,1.0649,1.0516,554095.85036232
66,1635415200000,1.0686,1.056,1.072,1.0546,290323.75386267
67,1635411600000,1.0734,1.0674,1.0804,1.0538,830069.2822768
